ID,Song Title,Year,Singer,Composer,Lyricist,Arranger,Producer,
C0001,K歌之王,2000,陳奕迅 Eason Chan,陳輝陽 Keith Chan,林夕 Lin Xi,陳輝陽 Keith Chan,陳輝陽 Keith Chan,
C0002,少女的祈禱,2000,楊千嬅 Miriam Yeung,陳輝陽 Keith Chan,林夕 Lin Xi,陳輝陽 Keith Chan,陳輝陽 Keith Chan,
C0003,給自己的情書,2000,王菲 Faye Wong,C.Y. Kong,林夕 Lin Xi,C.Y. Kong,Alvin Leong,
C0004,感情線上,2000,鄭秀文 Sammi Cheng,黃嘉倩 Cacine Wong,林夕 Lin Xi,"趙增熹 Tsang Hei Chiu, 林子揚 Paul Lin",趙增熹 Tsang Hei Chiu,
C0005,活著Viva,2000,謝霆鋒 Nicholas Tse,謝霆鋒 Nicholas Tse,林夕 Lin Xi,王雙駿 Carl Wong,"王雙駿 Carl Wong, 謝霆鋒 Nicholas Tse",
C0101,Shall We Talk,2001,陳奕迅 Eason Chan,陳輝陽 Keith Chan,林夕 Lin Xi,金培達 Peter Kam,陳輝陽 Keith Chan,
C0102,最愛演唱會,2001,陳慧琳 Kelly Chen,伍樂城 Ronald Ng,林夕 Lin Xi,伍樂城 Ronald Ng,伍樂城 Ronald Ng,
C0103,爛泥,2001,許志安 Andy Hui,李峻一 Joe Lei,李峻一 Joe Lei,陳輝陽 Keith Chan,陳輝陽 Keith Chan,
C0104,終身美麗,2001,鄭秀文 Sammi Cheng,陳輝陽 Keith Chan,林夕 Lin Xi,陳輝陽 Keith Chan,陳輝陽 Keith Chan,
C0105,痛愛,2001,容祖兒 Joey Yung,陳輝陽 Keith Chan,黃偉文 Wyman Wong,陳輝陽 Keith Chan,陳輝陽 Keith Chan,
C0201,好心分手,2002,盧巧音 Candy Lo,雷頌德 Mark Lui,黃偉文 Wyman Wong,"雷頌德 Mark Lui, Ted Lo",雷頌德 Mark Lui,
C0202,爭氣,2002,容祖兒 Joey Yung,陳輝陽 Keith Chan,林夕 Lin Xi,陳輝陽 Keith Chan,陳輝陽 Keith Chan,
C0203,女人之苦,2002,許志安 Andy Hui,陳輝陽 Keith Chan,林夕 Lin Xi,陳輝陽 Keith Chan,陳輝陽 Keith Chan,
C0204,愛不釋手,2002,李克勤 Hacken Lee,陳輝陽 Keith Chan,林夕 Lin Xi,陳輝陽 Keith Chan,陳輝陽 Keith Chan,
C0205,明年今日,2002,陳奕迅 Eason Chan,陳小霞 Salsa Cheng,林夕 Lin Xi,陳輝陽 Keith Chan,陳輝陽 Keith Chan,
C0301,七友,2003,梁漢文 Edmond Leung,雷頌德 Mark Lui,林夕 Lin Xi,雷頌德 Mark Lui,雷頌德 Mark Lui,
C0302,我的驕傲,2003,容祖兒 Joey Yung,陳光榮 Kwong Wing Chan,黃偉文 Wyman Wong,陳光榮 Kwong Wing Chan,陳光榮 Kwong Wing Chan,
C0303,十面埋伏,2003,陳奕迅 Eason Chan,Eric Kwok,黃偉文 Wyman Wong,Eric Kwok,Eric Kwok,
C0304,我不會唱歌,2003,李克勤 Hacken Lee,Edmond Tsang,黃偉文 Wyman Wong,Edmond Tsang,Tony Kiang,
C0305,可惜我是水瓶座,2003,楊千嬅 Miriam Yeung,雷頌德 Mark Lui,黃偉文 Wyman Wong,"雷頌德 Mark Lui, Ted Lo",雷頌德 Mark Lui,
C0401,小城大事,2004,楊千嬅 Miriam Yeung,雷頌德 Mark Lui,林夕 Lin Xi,雷頌德 Mark Lui,雷頌德 Mark Lui,
C0402,空中飛人,2004,李克勤 Hacken Lee,伍仲衡 Harry Ng,李克勤 Hacken Lee,伍仲衡 Harry Ng,"趙增熹 Tsang Hei Chiu, 陳少琪 Keith Chan",
C0403,世上只有,2004,容祖兒 Joey Yung,陳光榮 Kwong Wing Chan,黃偉文 Wyman Wong,陳光榮 Kwong Wing Chan,陳光榮 Kwong Wing Chan,
